year,genusspecies,plant_no,vein_density_mm_mm2
2018,aspuni,1,1.041488588
2018,aspuni,2,1.151523413
2018,aspuni,3,0.867302843
2018,aspuni,4,1.331178168
2018,aspuni,5,1.045566482
2018,aspuni,6,1.228708742
2018,blesch,1,2.044779004
2018,blesch,2,1.815953907
2018,blesch,3,2.041972884
2018,blesch,4,1.914578932
2018,blesch,5,2.159231932
2018,blesch,6,1.802241142
2018,dipati,1,0.558375644
2018,dipati,2,0.541339055
2018,dipati,3,0.71541051
2018,dipati,4,0.769243913
2018,dipati,5,0.735561848
2018,dipati,6,0.862983291
2018,drypat,1,1.485820076
2018,drypat,2,1.755680045
2018,drypat,3,1.244937815
2018,drypat,4,1.430017339
2018,drypat,5,1.445372744
2018,drypat,6,1.286697943
2018,eladec,1,1.18533395
2018,eladec,2,0.739679143
2018,eladec,3,1.396727725
2018,eladec,4,1.05021455
2018,eladec,5,0.914924026
2018,eladec,6,0.929459249
2018,nepbro,1,1.454822418
2018,nepbro,2,1.233324216
2018,nepbro,3,1.256620469
2018,nepbro,4,1.11925841
2018,nepbro,5,1.182247303
2018,nepbro,6,1.194034094
2018,nipcra,1,0.923475926
2018,nipcra,2,0.846940252
2018,nipcra,3,0.976414851
2018,nipcra,4,1.252084116
2018,nipcra,5,1.156478268
2018,nipcra,6,0.875795342
2018,olfcer,1,1.172245373
2018,olfcer,2,1.009813959
2018,olfcer,3,1.041664046
2018,olfcer,4,1.043305826
2018,olfcer,5,1.164401679
2018,olfcer,6,1.068073435
2018,parexc,1,1.41600818
2018,parexc,2,1.320021774
2018,parexc,3,1.369841082
2018,parexc,4,1.311953838
2018,parexc,5,1.339574678
2018,parexc,6,1.444214767
2018,serfra,1,0.828215505
2018,serfra,2,0.862023342
2018,serfra,3,0.810220764
2018,serfra,4,0.92427038
2018,serfra,5,1.006931065
2018,serfra,6,1.022507818
2018,sertri,1,1.274547278
2018,sertri,2,1.116085887
2018,sertri,3,0.753071527
2018,sertri,4,0.998042628
2018,sertri,5,1.02870091
2018,sertri,6,0.873508332
2018,lommax,1,1.263009193
2018,lommax,2,1.019065002
2018,lommax,3,1.29179138
2018,lommax,4,1.068755051
2018,lommax,5,1.210492021
2018,lommax,6,1.119407496
2018,olecos,1,1.667102443
2018,olecos,2,2.338210678
2018,olecos,3,2.125070458
2018,olecos,4,2.005319695
2018,olecos,5,2.559274006
2018,olecos,6,2.134938876
2018,dippro,1,0.891944619
2018,dippro,2,0.795228915
2018,dippro,3,0.705592081
2018,dippro,4,0.595984053
2018,dippro,5,0.920812157
2018,dippro,6,0.645422816
2017,cycsem,4,1.101778025
2017,cycsem,6,1.195941755
2017,cycsem,7,1.266379891
2017,cycsem,8,1.173396877
2017,micnic,1,0.512362958
2017,micnic,2,0.48824687
2017,micnic,3,0.591135169
2017,micnic,3b,0.52207125
2017,micnic,4,0.557033372
2017,micnic,4b,0.783430732
2017,micnic,6,0.494992356
2017,phlaur,1,0.904701479
2017,phlaur,2,1.272998456
2017,phlaur,3,1.309093055
2017,phlaur,4,1.76029436
2017,phlaur,5,1.628506135
2017,phlaur,6,1.125903734
2017,polosm,2,1.546833058
2017,polosm,4,1.373761994
2017,polosm,3,1.487909247
2017,polosm,1,1.557086907
2017,polosm,5,1.37912138
2017,polosm,6,1.434346806
2017,thecur,1,1.508722692
2017,thecur,2,1.442200455
2017,thecur,3,1.494848289
2017,thecur,4,1.307433417
